timestamp,action,collection_title,collection_id,from,to,result,detail
2026-08-17T09:54:10.785304,rename,Seasonal - Ramadan & Eid,gid://shopify/Collection/683381391738,ramadan-eid,personalised-ramadan-calendars,ok,13 products
2026-08-17T09:54:11.620845,rename,Events - Sports Events,gid://shopify/Collection/683383095674,events-sports-events,promotional-sports-giveaways,ok,6 products
2026-08-17T09:54:12.437521,rename,Chocolate - Advent Calendars,gid://shopify/Collection/683377459578,chocolate-advent-calendars,personalised-advent-calendars,ok,4 products
2026-08-17T09:54:13.243942,rename,Sweets - Lollipops,gid://shopify/Collection/683378049402,sweets-lollipops,branded-lollipops,ok,4 products
2026-08-17T09:54:14.121230,rename,Sweets - Mints,gid://shopify/Collection/683377918330,sweets-mints,printed-mint-tins,ok,3 products
2026-08-17T09:55:04.870532,rename,Seasonal,gid://shopify/Collection/683381031290,seasonal,seasonal-promotional-confectionery,ok,156 products
2026-08-17T09:55:05.799344,rename,Chocolate,gid://shopify/Collection/683377623418,chocolate,personalised-chocolate,ok,63 products
2026-08-17T09:55:06.724506,rename,Seasonal - Christmas,gid://shopify/Collection/683381555578,seasonal-christmas,promotional-christmas-gifts,ok,55 products
2026-08-17T09:55:07.596919,rename,Sweets,gid://shopify/Collection/683378147706,sweets,promotional-sweets,ok,38 products
2026-08-17T09:55:08.535350,rename,Chocolate - Shapes & Novelties,gid://shopify/Collection/683377361274,chocolate-shapes-novelties,promotional-moulded-chocolate-shapes,ok,28 products
2026-08-17T09:55:10.113551,rename,Chocolate - Bars,gid://shopify/Collection/683377295738,chocolate-bars,personalised-chocolate-bars,ok,10 products
2026-08-17T09:55:10.921752,rename,Snacks - Crisps & Chips,gid://shopify/Collection/683378966906,snacks-crisps-chips,branded-crisps-and-snack-tubes,ok,8 products
2026-08-17T09:55:11.795942,rename,Snacks - Popcorn,gid://shopify/Collection/683378999674,snacks-popcorn,promotional-popcorn,ok,7 products
2026-08-17T09:55:12.604569,rename,Drinks - Coffee,gid://shopify/Collection/683380113786,drinks-coffee,promotional-coffee-sachets,ok,2 products
2026-08-17T09:55:13.377238,rename,Food & Pantry,gid://shopify/Collection/683383193978,food-pastry,branded-food-and-pantry,ok,2 products
2026-08-17T09:55:14.757873,rename,Seasonal - Easter,gid://shopify/Collection/683381162362,seasonal-easter,promotional-easter-gifts,ok,40 products
2026-08-17T09:55:15.577438,rename,Branded Merchandise & Packaging,gid://shopify/Collection/683383685498,branded-merchandise-packaging,promotional-merchandise-and-packaging,ok,0 products +seo
2026-08-17T09:55:16.441360,rename,Branded Merchandise & Packaging - Merchandise,gid://shopify/Collection/683383783802,branded-merchandise-packaging-merchandise,branded-merchandise,ok,0 products +seo
2026-08-17T09:55:17.244135,rename,Events,gid://shopify/Collection/683382833530,events,promotional-gifts-for-events,ok,33 products
2026-08-17T09:55:18.073830,rename,Snacks,gid://shopify/Collection/683378901370,snacks,promotional-snacks,ok,24 products
2026-08-17T09:55:18.883403,rename,Drinks,gid://shopify/Collection/683380048250,drinks,promotional-drinks,ok,27 products
2026-08-17T09:55:19.703941,rename,Sweets - Gums & Jellies,gid://shopify/Collection/683377787258,sweets-gums-jellies,promotional-jelly-sweets,ok,22 products
2026-08-17T09:55:20.614870,rename,Drinks - Tea,gid://shopify/Collection/683380081018,drinks-tea,branded-tea-sachets,ok,17 products
2026-08-17T09:55:21.440164,rename,Dietary,gid://shopify/Collection/683378606458,dietary,vegan-and-free-from-promotional-sweets,ok,16 products
2026-08-17T09:55:22.265343,rename,Chocolate - Assorted,gid://shopify/Collection/683377328506,chocolate-assorted,personalised-assorted-chocolate-boxes,ok,12 products
2026-08-17T09:55:23.179835,rename,Biscuits & Cakes,gid://shopify/Collection/683378868602,biscuits-cakes,promotional-biscuits-and-cakes,ok,15 products
2026-08-17T09:55:24.108855,rename,Biscuits & Cakes - Biscuits & Cookies,gid://shopify/Collection/683378671994,biscuits-cakes-biscuits-cookies,branded-biscuits-and-cookies,ok,14 products
2026-08-17T09:55:24.938556,rename,Seasonal - Halloween,gid://shopify/Collection/683381457274,seasonal-halloween,promotional-halloween-sweets,ok,14 products
2026-08-17T09:55:25.739803,rename,"Snacks - Protein, Cereal & Energy Bars",gid://shopify/Collection/683379818874,snacks-protein-cereal-energy-bars,branded-protein-and-cereal-bars,ok,4 products
2026-08-17T09:55:26.615810,rename,Chocolate - Lollipops,gid://shopify/Collection/683377426810,chocolate-lollipops,branded-chocolate-lollipops,ok,3 products
2026-08-17T09:55:27.465656,rename,Sweets - Retro & Novelty,gid://shopify/Collection/683378114938,sweets-retro-novelty,promotional-retro-sweets,ok,4 products
2026-08-17T09:55:28.958779,rename,Seasonal - Valentine's Day,gid://shopify/Collection/683381064058,seasonal-valentines-day,promotional-valentines-day-gifts,ok,24 products
2026-08-17T09:55:29.828391,rename,Events - Wellbeing & Inclusion Events,gid://shopify/Collection/683383062906,events-wellbeing-inclusion-events,promotional-gifts-for-wellbeing-days,ok,17 products
2026-08-17T09:55:30.737954,rename,Events - Community Charities & Causes,gid://shopify/Collection/683382997370,events-community-charities-causes,promotional-gifts-for-charities,ok,10 products +seo
2026-08-17T09:55:31.649023,rename,Seasonal - Summer,gid://shopify/Collection/683381358970,seasonal-summer,promotional-summer-gifts,ok,6 products +seo
2026-08-17T09:55:32.494981,rename,Sweets - Toffees & Chews,gid://shopify/Collection/683377820026,sweets-toffees-chews,promotional-toffees-and-chews,ok,6 products +seo
